Job Title,Salary Estimate,Rating,Location,Size,Type of ownership,Industry,Sector,job_state,company_age,python,spark,tableau
Data Scientist (TS/SCI),99-132 ,3.5,"Herndon, VA",5001 to 10000 employees,Company - Public,Aerospace & Defense,Aerospace & Defense, VA,-1,1,0,0
Data Engineer,99-132 ,5,"Burlingame, CA",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology, CA,4,1,0,0
Data Scientist,99-132 ,4,"Reston, VA",1001 to 5000 employees,Nonprofit Organization,Consulting,Business Services, VA,24,1,1,1
Data Scientist,99-132 ,3.6,"New York, NY",1 to 50 employees,Company - Private,Health Care Services & Hospitals,Health Care, NY,4,1,0,0
Software Engineer - Data Science,99-132 ,4,"Annapolis Junction, MD",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology, MD,18,1,1,0
Data Analyst/Engineer,99-132 ,3.2,"Nashville, TN",1001 to 5000 employees,Company - Public,Investment Banking & Asset Management,Finance, TN,53,1,0,0
NGS Scientist,99-132 ,5,"South San Francisco, CA",51 to 200 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, CA,1,0,0,0
Data Engineer,99-132 ,4.8,"Bethesda, MD",201 to 500 employees,Company - Private,Health Care Services & Hospitals,Health Care, MD,20,1,0,0
Data Scientist,99-132 ,4.5,"Dayton, OH",51 to 200 employees,Company - Private,Consulting,Business Services, OH,14,1,0,1
Senior Data Engineer,99-132 ,4.7,"San Francisco, CA",51 to 200 employees,Company - Private,Internet,Information Technology, CA,5,1,1,0
Senior Data Scientist,99-132 ,4.5,"Herndon, VA",501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology, VA,8,1,0,0
Data Engineer,99-132 ,4.2,"Winter Park, FL",51 to 200 employees,Company - Public,Advertising & Marketing,Business Services, FL,14,1,1,0
Business Intelligence Analyst,99-132 ,3.4,"Schaumburg, IL",51 to 200 employees,Company - Private,Shipping,Transportation & Logistics, IL,14,1,0,1
Sr. ML/Data Scientist - AI/NLP/Chatbot,99-132 ,3.8,"Cupertino, CA",5001 to 10000 employees,Company - Public,Telecommunications Services,Telecommunications, CA,24,1,1,0
Data Scientist,90-109 ,4.7,"Saint Louis, MO",51 to 200 employees,Company - Private,IT Services,Information Technology, MO,4,1,1,0
